title,location,district_clean,category,price_numeric,land_area_sqft,bedrooms,bathrooms,price_per_sqft,bed_bath_ratio,is_bungalow,is_villa,mentions_bhk,source,tokens,tokens_text,num_tokens
 House for Sale,"Imadol, Lalitpur",Lalitpur,House,29000000.0,1369.0,5.0,4.0,21183.345507669834,1.2195121951219514,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
 House for Sale,"Satdobato, Lalitpur",Lalitpur,House,47500000.0,1026.75,5.0,6.0,46262.47869491113,0.819672131147541,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
4 BHK House for Sale,"Imadol, Lalitpur",Lalitpur,House,19900000.0,787.175,4.0,4.0,25280.274398958303,0.9756097560975612,0,0,1,Kaggle (Valley),"['bhk', 'house', 'sale']",bhk house sale,3
Bungalow House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,40000000.0,2395.75,4.0,3.0,16696.23291244913,1.2903225806451613,1,0,0,Kaggle (Valley),"['bungalow', 'house', 'sale']",bungalow house sale,3
 House for Rent,"Maharajgunj, Kathmandu",Kathmandu,House,12000000.0,2053.5,4.0,4.0,5843.681519357195,0.9756097560975612,0,0,0,Kaggle (Valley),"['house', 'rent']",house rent,2
Bungalow House for Rent,"Bhaisepati, Lalitpur",Lalitpur,House,27000000.0,2053.5,6.0,5.0,13148.283418553689,1.1764705882352942,1,0,0,Kaggle (Valley),"['bungalow', 'house', 'rent']",bungalow house rent,3
3 BHK House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,33000000.0,1095.2,4.0,3.0,30131.482834185535,1.2903225806451613,0,0,1,Kaggle (Valley),"['bhk', 'house', 'sale']",bhk house sale,3
 House for Sale,"Budhanilkantha, Kathmandu",Kathmandu,House,40000000.0,1471.675,5.0,4.0,27179.91404352184,1.2195121951219514,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
 House for Sale,"Gyaneshwor, Kathmandu",Kathmandu,House,45000000.0,752.95,13.0,5.0,59764.92462978949,2.5490196078431375,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
 House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,30000000.0,1711.25,5.0,5.0,17531.044558071586,0.9803921568627452,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
 House for Sale,"Imadol, Lalitpur",Lalitpur,House,49900000.0,1779.7,6.0,5.0,28038.433443838847,1.1764705882352942,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
 House for Sale,"Kharibot, Kathmandu",Kathmandu,House,24500000.0,1026.75,4.0,2.0,23861.699537375214,1.9047619047619049,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
Bungalow House for Sale,"Bafal, Kathmandu",Kathmandu,House,25000000.0,1369.0,4.0,5.0,18261.504747991235,0.7843137254901962,1,0,0,Kaggle (Valley),"['bungalow', 'house', 'sale']",bungalow house sale,3
4 BHK House for Sale,"Khumaltar, Lalitpur",Lalitpur,House,42500000.0,1369.0,4.0,4.0,31044.5580715851,0.9756097560975612,0,0,1,Kaggle (Valley),"['bhk', 'house', 'sale']",bhk house sale,3
Bungalow House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,65000000.0,2121.9500000000003,4.0,5.0,30632.20151275949,0.7843137254901962,1,0,0,Kaggle (Valley),"['bungalow', 'house', 'sale']",bungalow house sale,3
4 BHK House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,36000000.0,1437.45,4.0,5.0,25044.34936867369,0.7843137254901962,0,0,1,Kaggle (Valley),"['bhk', 'house', 'sale']",bhk house sale,3
 House for Sale,"Khumaltar, Lalitpur",Lalitpur,House,58000000.0,1711.25,6.0,6.0,33893.35281227173,0.9836065573770492,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
Bungalow House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,25000000.0,1095.2,5.0,7.0,22826.880934989043,0.7042253521126761,1,0,0,Kaggle (Valley),"['bungalow', 'house', 'sale']",bungalow house sale,3
4 BHK House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,48000000.0,1779.7,4.0,4.0,26970.83778164859,0.9756097560975612,0,0,1,Kaggle (Valley),"['bhk', 'house', 'sale']",bhk house sale,3
4 BHK House for Sale,"Tahachal, Kathmandu",Kathmandu,House,66500000.0,1403.225,4.0,5.0,47390.83183381141,0.7843137254901962,0,0,1,Kaggle (Valley),"['bhk', 'house', 'sale']",bhk house sale,3
