title,tokens,tokens_text,num_tokens,category,location,price_numeric
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",29000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Satdobato, Lalitpur",47500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",19900000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bhaisepati, Lalitpur",40000000.0
 House for Rent,"['house', 'rent']",house rent,2,House,"Maharajgunj, Kathmandu",12000000.0
Bungalow House for Rent,"['bungalow', 'house', 'rent']",bungalow house rent,3,House,"Bhaisepati, Lalitpur",27000000.0
3 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Bhaisepati, Lalitpur",33000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",40000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Gyaneshwor, Kathmandu",45000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhaisepati, Lalitpur",30000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",49900000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Kharibot, Kathmandu",24500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bafal, Kathmandu",25000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Khumaltar, Lalitpur",42500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bhaisepati, Lalitpur",65000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Bhaisepati, Lalitpur",36000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Khumaltar, Lalitpur",58000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bhaisepati, Lalitpur",25000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Bhaisepati, Lalitpur",48000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Tahachal, Kathmandu",66500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Dhapasi, Kathmandu",133000000.0
Villa House for Sale,"['villa', 'house', 'sale']",villa house sale,3,House,"Thecho, Lalitpur",85000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bhaisepati, Lalitpur",55000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhaisepati, Lalitpur",47500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",29500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sanepa, Lalitpur",63500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bhaisepati, Lalitpur",85000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Maharajgunj, Kathmandu",105000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Bhaisepati, Lalitpur",64000000.0
3 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Sunakothi, Lalitpur",35000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Kapan, Kathmandu",22000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Dhobighat, Lalitpur",37500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Hattiban, Lalitpur",80000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Satdobato, Lalitpur",55000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sanepa, Lalitpur",77500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",160000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",31900000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Sitapaila, Kathmandu",25000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Pokhara, Kaski",120000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bhaisepati, Lalitpur",62500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Hattiban, Lalitpur",28000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Imadol, Lalitpur",59900000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhaisepati, Lalitpur",48000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",25000000.0
4 BHK House for Rent,"['bhk', 'house', 'rent']",bhk house rent,3,House,"Sanepa, Lalitpur",33500000.0
