title,category,location,price_numeric,is_bungalow,is_villa,is_apartment,is_duplex,is_house,is_land,has_parking,has_garden,has_bhk,is_furnished,is_modern,is_luxury,is_commercial,is_urgent
 House for Sale,House,"Imadol, Lalitpur",29000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Satdobato, Lalitpur",47500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Imadol, Lalitpur",19900000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Bungalow House for Sale,House,"Bhaisepati, Lalitpur",40000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Rent,House,"Maharajgunj, Kathmandu",12000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bungalow House for Rent,House,"Bhaisepati, Lalitpur",27000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3 BHK House for Sale,House,"Bhaisepati, Lalitpur",33000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",40000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Gyaneshwor, Kathmandu",45000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bhaisepati, Lalitpur",30000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",49900000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Kharibot, Kathmandu",24500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Bafal, Kathmandu",25000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Khumaltar, Lalitpur",42500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Bungalow House for Sale,House,"Bhaisepati, Lalitpur",65000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Bhaisepati, Lalitpur",36000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Khumaltar, Lalitpur",58000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Bhaisepati, Lalitpur",25000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Bhaisepati, Lalitpur",48000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4 BHK House for Sale,House,"Tahachal, Kathmandu",66500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Bungalow House for Sale,House,"Dhapasi, Kathmandu",133000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Villa House for Sale,House,"Thecho, Lalitpur",85000000.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Bhaisepati, Lalitpur",55000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bhaisepati, Lalitpur",47500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",29500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Sanepa, Lalitpur",63500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Bhaisepati, Lalitpur",85000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Maharajgunj, Kathmandu",105000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Bhaisepati, Lalitpur",64000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3 BHK House for Sale,House,"Sunakothi, Lalitpur",35000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Kapan, Kathmandu",22000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Dhobighat, Lalitpur",37500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Hattiban, Lalitpur",80000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Satdobato, Lalitpur",55000000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Sanepa, Lalitpur",77500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Budhanilkantha, Kathmandu",160000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",31900000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Sitapaila, Kathmandu",25000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Pokhara, Kaski",120000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Bhaisepati, Lalitpur",62500000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Hattiban, Lalitpur",28000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Bungalow House for Sale,House,"Imadol, Lalitpur",59900000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bhaisepati, Lalitpur",48000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",25000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
